Row Labels,Average of 5YA Service Calls,Average of 5YA Incident Responses,Average of 5YA Post Count,Sum of FY 2023 Basic Assessment,,Average of 5YA Service Calls,Average of 5YA Incident Responses,Average of 5YA Post Count,Sum of FY 2023 Basic Assessment
FL3051,0,0,0,33957.5,,,,,
FL3052,50.2,26.6,2.6,74812.56,,,,,
FL3053,0,0,0,33957.5,,,,,
FL3057,0,0,0,33957.5,,,,,
FL3059,0,0,0,33957.5,,,,,
FL3061,0.8,0.6,0,34271.67,,,,,
FL3062,0.6,0.4,0,34169.39,,,,,
FL3063,0,0,0,33957.5,,,,,
FL3065,1,1,0,34468.9,,,,,
FL3067,0,0,0,33957.5,,,,,
FL3072,0.6,0.2,0.2,36104.2,,,,,
FL3078,0,0,0.2,35987.26,,,,,
FL3079,0.4,0,0,33972.16,,,,,
FL3080,18,7.8,1,48469.05,,,,,
FL3082,0.2,0.2,0,34059.78,,,,,
FL3084,0,0,0,33957.5,,,,,
FL3085,7.6,3,2.8,64076.92,,,,,
FL3086,0,0,0,33957.5,,,,,
FL3087,18,4.8,1.4,51104.32,,,,,
FL3088,0.4,0.4,0,34162.06,,,,,
FL3089,0,0,0,33957.5,,,,,
FL3093,2.4,1.8,0,34900.01,,,,,
FL3094,0.8,0.4,0,34176.72,,,,,
FL3096,0.2,0.2,0,34059.78,,,,,
FL3097,8.6,1.6,0.8,43151.33,,,,,
FL3098,0.8,0.6,0,34271.67,,,,,
FL3099,0,0,0,33957.5,,,,,
FL3100,7.2,5.8,1,47123.72,,,,,
FL3103,2.4,2.4,0,35184.86,,,,,
FL3104,0.2,0.2,0,34059.78,,,,,
FL3105,0.6,0.2,0,34074.44,,,,,
FL3106,0.2,0.2,0,34059.79,,,,,
FL3112,2.4,1.6,0,34805.07,,,,,
FL3114,0,0,0,33957.5,,,,,
FL3115,13,3.6,2.6,62529.92,,,,,
FL3117,1.4,1,0,34483.56,,,,,
FL3118,0.8,0.6,0,34271.67,,,,,
FL3120,4.6,4,0.2,38054.85,,,,,
FL3124,24.4,10.4,2.6,66176.03,,,,,
FL3126,0.8,0,0,33986.82,,,,,
FL3127,0.6,0.2,0,34074.44,,,,,
FL3128,9,3.2,1,45955.35,,,,,
FL3129,1,0.6,0,34279,,,,,
FL3132,0,0,0,33957.5,,,,,
FL3134,0.8,0.2,0,34081.77,,,,,
FL3135,0.4,0.4,0,34162.06,,,,,
FL3139,0,0,0,33957.5,,,,,
FL3140,3,0.6,0,34352.3,,,,,
FL3143,3.6,2.2,0.6,41223.17,,,,,
FL3144,6,2,0.8,43245.94,,,,,
FL3147,0.4,0.2,0,34067.11,,,,,
FL3148,1.8,1.4,0,34688.12,,,,,
FL3152,46.4,23.2,5.2,99446.01,,,,,
FL3155,20.6,13.6,1.4,55377.4,,,,,
FL3159,14.2,9,1.2,50929.24,,,,,
FL3160,0.2,0.2,0,34059.78,,,,,
FL3161,11.8,3.4,1.2,48182.68,,,,,
FL3162,9.8,9.2,0,38684.37,,,,,
FL3163,17.4,7.4,1,48257.16,,,,,
FL3166,8.2,1.4,0.4,38982.2,,,,,
FL3170,6.2,5.2,0,36653.43,,,,,
FL3172,0.2,0,0,33964.83,,,,,
FL3173,11.4,4.8,1,46802.91,,,,,
FL3174,1,0.8,0,34373.95,,,,,
FL3175,1.4,1,0.2,36513.32,,,,,
FL3176,5.6,2.6,0.8,43516.12,,,,,
FL3177,53.2,23.4,4,87611.63,,,,,
FL3178,10,3.2,2,56140.79,,,,,
FL3180,1.4,0.8,0,34388.61,,,,,
FL3181,0.6,0.6,0,34264.34,,,,,
FL3183,31.2,17.6,6.2,106379.12,,,,,
FL3184,87.6,51.6,7.8,140825.77,,,,,
FL3185,45.6,27,6.6,115429.05,,,,,
FL3186,57.2,32.6,6.2,114453.28,,,,,
FL3187,0.2,0,0,33964.83,,,,,
FL3189,22,10,1,49660.1,,,,,
FL3190,0,0,0,33957.5,,,,,
FL3191,17,7.4,0.8,46212.74,,,,,
FL3196,16.6,8,0.8,46482.93,,,,,
FL3198,0.6,0.2,0,34074.44,,,,,
FL3202,0,0,0,33957.5,,,,,
FL3203,38,19.2,1.8,62733.24,,,,,
FL3204,5.4,2.2,1.4,49408.17,,,,,
FL3205,15.8,7.4,1.6,54287.8,,,,,
FL3206,3,2,0,35016.95,,,,,
FL3210,8.8,6,0,37128.52,,,,,
FL3214,0,0,0.8,42076.53,,,,,
FL3216,0,0,0,33957.5,,,,,
FL3220,0,0,0,33957.5,,,,,
FL3221,14.6,3.8,0.8,44415.68,,,,,
FL3225,3.6,2.8,0,35418.74,,,,,
FL3226,0,0,0,33957.5,,,,,
FL3230,8.2,5,0.8,44750.82,,,,,
FL3231,0.6,0.2,0,34074.44,,,,,
FL3241,27.2,15.6,4.6,89044.94,,,,,
FL3246,114.8,57.6,7.8,144671.16,,,,,
FL3248,0,0,0,33957.5,,,,,
FL3249,7.2,1,1,44844.92,,,,,
FL3250,35.8,5.4,1.2,50011.79,,,,,
FL3253,2.6,1.8,0,34907.34,,,,,
FL3254,1.4,0.4,0.2,36228.47,,,,,
FL3255,0.4,0.2,0.2,36096.87,,,,,
FL3256,9.8,4,2.4,60572.78,,,,,
FL3263,0.8,0.4,0,34176.72,,,,,
FL3266,6.4,1.2,1,44910.55,,,,,
FL3267,5.2,4.2,0,36142.03,,,,,
FL3268,1.2,0.2,0,34096.43,,,,,
FL3269,0,0,0,33957.5,,,,,
FL3271,19.2,6,4.8,86223.9,,,,,
FL3276,0,0,0,0,,,,,
FL3278,1,0.6,0,34279,,,,,
FL3279,18.4,14.2,1.2,53551.87,,,,,
FL3281,1.8,1.2,0,34593.17,,,,,
FL3282,11.4,5.8,1,47277.66,,,,,
FL3284,0,0,0,33957.5,,,,,
FL3285,12,7,0.8,45839.59,,,,,
FL3291,5.2,1,1.6,50860.9,,,,,
FL3299,0,0,0,33957.5,,,,,
FL3302,79,25.8,1.8,67369.26,,,,,
FL3303,9.8,2,1.2,47444.72,,,,,
FL3310,23.2,11.6,2.2,62642.24,,,,,
FL3311,36.8,19,2,64624.07,,,,,
FL3312,12,3.2,0.8,44035.54,,,,,
FL3313,0.8,0.6,0,34271.67,,,,,
FL3314,6.2,0.2,1.2,46458.23,,,,,
FL3315,27.4,17.8,6.6,110394.31,,,,,
FL3317,15.4,4.8,1.6,53038.78,,,,,
FL3319,6.2,3.4,1.6,52036.95,,,,,
FL3322,0.8,0.4,0,34176.72,,,,,
FL3324,6,2.2,1.2,47400.4,,,,,
FL3326,2,1.8,0,34885.35,,,,,
FL3327,0.4,0.4,0,34162.06,,,,,
FL3328,1.2,0.6,0,34286.33,,,,,
FL3329,0.2,0,0,33964.83,,,,,
FL3330,0,0,0,33957.5,,,,,
FL3332,0,0,0,33957.5,,,,,
FL3333,8.6,2.4,1,45560.89,,,,,
FL3334,0.2,0.2,0,34059.78,,,,,
FL3336,2,2,0,34980.3,,,,,
FL3337,25.6,15.4,5.4,97010.39,,,,,
FL3338,0,0,0,33957.5,,,,,
FL3339,0.2,0,0,33964.83,,,,,
FL3341,1,0.4,0,34184.05,,,,,
FL3343,19.2,5.6,0.8,45438.82,,,,,
FL3344,43.8,15.8,1.8,61331.67,,,,,
FL3345,5.2,4.8,0,36426.88,,,,,
FL3346,8.6,8,0,38070.69,,,,,
FL3348,1.6,1.6,0,34775.74,,,,,
FL3349,1,0.8,0,34373.95,,,,,
FL3350,0,0,0,33957.5,,,,,
FL3354,0.6,0.2,0,34074.44,,,,,
FL3356,1.2,0.8,0,34381.28,,,,,
FL3361,4.6,4.6,0,36309.94,,,,,
FL3362,16.8,7.8,4.2,80901.21,,,,,
FL3363,0.4,0.4,0,34162.06,,,,,
FL3364,0,0,0,33957.5,,,,,
FL3366,14,7,4.2,80418.79,,,,,
FL3367,3.8,3.4,0,35710.92,,,,,
FL3368,0,0,0,33957.5,,,,,
FL3374,0,0,0,33957.5,,,,,
FL3375,25,14.2,3.6,78150.87,,,,,
FL3376,49.8,30,3.4,84531.09,,,,,
FL3377,7.4,1.8,1,45232.05,,,,,
FL3378,7.6,2,0.6,41274.82,,,,,
FL3379,1.6,1.4,0,34680.79,,,,,
FL3380,0,0,0,33957.5,,,,,
FL3381,2,1.6,0,34790.4,,,,,
FL3382,3,2.6,0,35301.8,,,,,
FL3383,2.8,1.2,0.6,40719.09,,,,,
FL3384,3.6,2.2,0,35133.89,,,,,
FL3385,0,0,0,33957.5,,,,,
FL3386,0.4,0,0,33972.16,,,,,
FL3387,0.8,0.4,0,34176.72,,,,,
FL3388,6.8,3,1.6,51869.04,,,,,
FL3390,0,0,0,33957.5,,,,,
FL3392,0,0,0,33957.5,,,,,
FL3394,0.2,0,0,33964.83,,,,,
FL3395,0,0,0,33957.5,,,,,
FL3398,1,0.8,0,34373.95,,,,,
FL3399,2.8,1.6,0,34819.72,,,,,
FL3401,0.4,0.2,0,34067.11,,,,,
FL3402,15.4,2.8,2.2,58178.56,,,,,
FL3403,0,0,0,33957.5,,,,,
FL3405,11.6,5.6,3,67487.63,,,,,
FL3406,0.2,0.2,0,34059.78,,,,,
FL3407,26.4,25,0,46793.82,,,,,
FL3408,29.8,18.8,2.2,66302.33,,,,,
FL3409,8.2,3.4,0.8,43991.22,,,,,
FL3410,9.4,2.2,0.6,41435.74,,,,,
FL3411,4.8,3.4,0,35747.56,,,,,
FL3412,1.6,1.4,0,34680.79,,,,,
FL3414,0,0,0,33957.5,,,,,
FL3421,3.2,3.2,0,35593.98,,,,,
FL3422,1.6,1,0,34490.88,,,,,
FL3423,4,3,0,35528.35,,,,,
GA0005,9,8.8,0,38465.14,,,,,
GA0007,64.6,33.8,5.8,111234.67,,,,,
GA0008,11.2,6.6,0.4,41560.84,,,,,
GA0009,8.8,8.4,0.2,40297.67,,,,,
GA0010,122.4,62.6,10,169650.8,,,,,
GA0012,11.6,11,0,39604.9,,,,,
GA0019,1.6,0,0,34016.14,,,,,
GA0021,19,12.4,0,40540.75,,,,,
GA0025,1,1,0,34468.91,,,,,
GA0030,3.6,1.8,0.2,36973.74,,,,,
GA0036,0.8,0.8,0,34366.61,,,,,
GA0044,1.6,0.2,0.8,42230.12,,,,,
GA0057,3.2,2.8,0,35404.08,,,,,
GA0076,21.2,17.6,0,43090.09,,,,,
GA0077,46.4,16.2,6.2,106271.56,,,,,
GA0078,9.4,8,0.2,40129.77,,,,,
GA0080,2.4,2.2,0,35089.91,,,,,
GA0081,3.6,2,0,35038.94,,,,,
GA0087,232.6,175.4,12.4,251598.59,,,,,
GA0103,5,3.2,0,35659.95,,,,,
GA0114,0.2,0,0,33964.84,,,,,
GA0118,5.2,3.6,0.6,41946.47,,,,,
GA0121,111.8,85.6,0.2,80723.38,,,,,
GA0125,4,2.6,0,35338.44,,,,,
GA0131,0.8,0.2,0,34081.77,,,,,
GA0134,0.4,0,0,33972.17,,,,,
GA0138,38.2,28.6,4.2,91560.34,,,,,
GA0147,0.2,0.2,0,34059.78,,,,,
GA0650,22.6,4.8,3.4,71570.5,,,,,
GA0665,0,0,0,33957.5,,,,,
GA0666,0.2,0,0,33964.83,,,,,
GA0667,5,2.4,0.2,37309.91,,,,,
GA1007,348.2,243.4,32.2,489064.53,,,,,
GA1009,3.4,1.6,4,75436.89,,,,,
GA1016,40,20.4,8.2,128328.53,,,,,
GA1017,1.2,1,0,34476.23,,,,,
GA1021,0.2,0.2,0,34059.78,,,,,
GA1023,0,0,0,33957.5,,,,,
GA1024,7.6,1.2,1,44954.53,,,,,
GA1025,8.8,5.8,1.2,49212.12,,,,,
GA1026,6.8,3.6,3,66362.2,,,,,
GA1060,2.8,2.8,0.2,37419.18,,,,,
GA1066,0,0,0,33957.5,,,,,
GA1068,5.4,5.4,0,36719.06,,,,,
GA1086,0,0,0,33957.5,,,,,
GA1090,30.5,19.75,1.75,62212.04,,,,,
GA1097,0.4,0.4,0,34162.06,,,,,
GA1111,5.6,2.6,2.2,57724.44,,,,,
GA1116,4.33,3.33,1,45847.61,,,,,
GA1120,1.5,1.5,0,34724.6,,,,,
GA1158,18,8,0,38415.21,,,,,
GA1159,0,0,0,33957.5,,,,,
GA1175,0,0,0,33957.5,,,,,
GA1197,0,0,0,33957.5,,,,,
GA1208,0.33,0,0,33969.71,,,,,
GA1217,1,1,0,34468.9,,,,,
GA1252,0,0,0,33957.5,,,,,
GA1255,2,1.5,0,34742.92,,,,,
GA1257,1,1,0,34468.9,,,,,
GA1260,2,2,0,34980.3,,,,,
GA1261,0,0,0,33957.5,,,,,
GA1272,1,1,0,34468.9,,,,,
GA1278,1,1,0,34468.9,,,,,
GA1280,1,1,0,34468.9,,,,,
GA1287,2,2,0,34980.3,,,,,
GA2004,60.6,51.6,1.2,72854.17,,,,,
GA2005,0,0,0,33957.5,,,,,
GA2006,1,0.4,0,34184.05,,,,,
GA2014,0,0,0,33957.5,,,,,
GA2019,0,0,0,33957.5,,,,,
GA2023,32.6,29.8,0,49299.85,,,,,
GA2031,0.4,0,0,33972.16,,,,,
GA2032,5.6,5,0.2,38566.25,,,,,
GA2034,0.5,0,0,33975.82,,,,,
GA2042,2,1.4,0,34695.44,,,,,
GA2043,0,0,0,33957.5,,,,,
GA2051,0.2,0.2,0,34059.78,,,,,
GA2052,4,1,1.8,52846.68,,,,,
GA2053,0.2,0,0,33964.83,,,,,
GA2054,2.6,1.6,0,34812.39,,,,,
GA2059,0.2,0.2,0,34059.78,,,,,
GA2062,14.4,7.8,1,48337.11,,,,,
GA2064,0.6,0.2,0.2,36104.19,,,,,
GA2067,0.4,0.2,0,34067.11,,,,,
GA2071,0.2,0.2,0,34059.78,,,,,
GA2073,0.6,0,0,33979.49,,,,,
GA2076,0,0,0,33957.5,,,,,
GA2078,11.2,8.2,0.4,42320.45,,,,,
GA2084,0,0,0,33957.5,,,,,
GA2090,2,1,0.4,38565.07,,,,,
GA2092,0,0,0,33957.5,,,,,
GA2099,0.8,0.6,0,34271.67,,,,,
GA2101,0,0,0,33957.5,,,,,
GA2102,0,0,0,33957.5,,,,,
GA2107,0.4,0.2,0,34067.11,,,,,
GA2108,0,0,0,33957.5,,,,,
GA2115,1.8,0.4,0.6,40302.64,,,,,
GA2122,4.4,3.8,0,35922.81,,,,,
GA2125,0,0,0,33957.5,,,,,
GA2135,56.8,35.8,7,124076.85,,,,,
GA2146,0,0,0,33957.5,,,,,
GA2152,2.6,1.4,0,34717.44,,,,,
GA2154,0,0,0,33957.5,,,,,
GA2155,7.4,5.4,0,36792.36,,,,,
GA2156,6.25,4.75,0.5,41516.02,,,,,
GA2159,0,0,0,33957.5,,,,,
GA2170,1.8,1.6,0,34783.07,,,,,
GA2184,0,0,0,33957.5,,,,,
GA2188,0.6,0.4,0,34169.39,,,,,
GA2198,10.4,4.2,1.8,54600.44,,,,,
GA2211,0.4,0.2,0,34067.11,,,,,
GA2212,2,2,0,34980.3,,,,,
GA2213,1.2,0.8,0,34381.28,,,,,
GA2214,1,0.6,0,34279,,,,,
GA2221,0.4,0.4,0,34162.06,,,,,
GA2226,7.4,3.4,1.2,48021.42,,,,,
GA2228,0.6,0.4,0,34169.39,,,,,
GA2230,1.6,0.8,1,44544.73,,,,,
GA2231,0.8,0.6,0,34271.67,,,,,
GA2232,7,4.6,1.2,48576.45,,,,,
GA2239,0.4,0.2,0,34067.11,,,,,
GA2241,1.2,0.8,0,34381.28,,,,,
GA2245,0,0,0,33957.5,,,,,
GA2248,0,0,0,33957.5,,,,,
GA2254,1.8,0.4,1.2,46391.92,,,,,
GA2260,0.6,0.2,0.2,36104.2,,,,,
GA2267,10.2,3.8,1,46284.18,,,,,
GA2268,0,0,0,33957.5,,,,,
GA2269,0.2,0.2,0,34059.78,,,,,
GA2270,0,0,0,33957.5,,,,,
GA2271,12.6,6,2.2,59595.14,,,,,
GA2273,1.4,1.2,0,34578.51,,,,,
GA2279,0.2,0.2,0,34059.78,,,,,
GA2281,14,5.6,1.2,49307.76,,,,,
GA2285,7.4,3.2,1.6,51985.98,,,,,
GA2286,5,2,1,45239.04,,,,,
GA2287,2.2,1.4,1,44851.57,,,,,
GA2289,0.4,0.2,0,34067.11,,,,,
GA2290,0,0,0,33957.5,,,,,
GA2292,1,0.6,0,34279,,,,,
GA2297,0,0,0,33957.5,,,,,
GA2301,0.4,0.4,0,34162.06,,,,,
GA2302,6.2,4.4,1,46422.42,,,,,
GA2304,4.6,3.6,0,35835.19,,,,,
GA2307,2.8,2.4,1.2,47378.07,,,,,
GA2308,27.6,20,3.4,78969.95,,,,,
GA2313,6,2.6,1.2,47590.3,,,,,
GA2314,0,0,0,33957.5,,,,,
GA2316,1.2,0.8,0,34381.28,,,,,
GA2317,0.2,0.2,0,34059.78,,,,,
GA2318,0.2,0.2,0,34059.78,,,,,
GA2325,0.6,0.2,0,34074.44,,,,,
GA2326,0.8,0.6,0.2,36301.43,,,,,
GA2327,0.6,0.4,0.2,36199.15,,,,,
GA2330,5.8,1.6,1.6,51167.74,,,,,
GA2331,16.2,8.4,3.6,75074.79,,,,,
GA2332,5.2,4.8,0,36426.88,,,,,
GA2333,1,0.6,0,34278.99,,,,,
GA2335,1,0.6,0,34278.99,,,,,
GA2338,9.6,4.6,1.2,48671.74,,,,,
GA2339,0.2,0.2,0,34059.78,,,,,
GA2341,5.4,2.2,1.4,49408.17,,,,,
GA2342,4.6,2,1.2,47254.14,,,,,
GA2343,2.4,1.8,0,34900.01,,,,,
GA2345,0.2,0,0,33964.83,,,,,
GA2346,1.4,1,0,34483.56,,,,,
GA2347,0.8,0.6,0,34271.67,,,,,
GA2348,4.4,4.2,0,36112.71,,,,,
GA2349,25.4,12.6,2.2,63197.62,,,,,
GA2352,45,28.6,6.6,116166.66,,,,,
GA2353,7.2,2.8,1.4,49758.99,,,,,
GA2354,8,5,1.6,52862.52,,,,,
GA2357,0.2,0.2,0,34059.78,,,,,
GA2359,5,1,1.2,46794.05,,,,,
GA2361,8,5,1,46773.24,,,,,
GA2363,4.4,3,0.2,37572.77,,,,,
GA2367,210,90.8,8.2,167981.5,,,,,
GA2371,6.2,2,1.6,51372.3,,,,,
GA2372,0.2,0.2,0.2,36089.53,,,,,
GA2373,8.2,3.4,0.8,43991.22,,,,,
GA2376,16.4,14,1,51353.86,,,,,
GA2378,0,0,0,33957.5,,,,,
GA2379,3.6,2,0.4,39098.46,,,,,
GA2380,0,0,0,33957.5,,,,,
GA2381,0,0,0.2,35987.26,,,,,
GA2384,0.2,0.2,0,34059.78,,,,,
GA2385,0,0,0.4,38017.01,,,,,
GA2387,6.8,3,2.2,57958.32,,,,,
GA2389,5.8,2.6,2.8,63821.04,,,,,
GA2400,0.8,0.6,0,34271.66,,,,,
GA2401,10.2,9,1,48752.87,,,,,
GA2410,9,6.2,1,47379.59,,,,,
GA2424,4.6,2,1.4,49283.9,,,,,
GA2429,23.2,12.6,2,61087.23,,,,,
GA2430,15.2,11.2,2.4,64188.89,,,,,
GA2436,45.4,43.8,0.2,58445.24,,,,,
GA2438,0.2,0.2,0,34059.78,,,,,
GA2441,5,4,1,46188.54,,,,,
GA2442,5,2.6,1,45523.89,,,,,
GA2443,2.6,2,0.6,41091.56,,,,,
GA2452,14.6,10.4,0,39429.99,,,,,
GA2461,0,0,0,33957.5,,,,,
GA2462,0,0,0,33957.5,,,,,
GA2464,0.6,0.2,0,34074.44,,,,,
GA2471,4.2,2.6,0,35345.78,,,,,
GA2473,0,0,0,33957.5,,,,,
GA2474,6.8,2.8,1.2,47714.57,,,,,
GA2475,2.4,2,0,34994.96,,,,,
GA2476,4.2,3.2,0,35630.63,,,,,
GA2477,2.8,0.8,1.6,50677.99,,,,,
GA2478,7.4,5.2,1.2,48875.96,,,,,
GA2479,1.2,1.2,0,34571.18,,,,,
GA2480,8,4.8,1,46678.29,,,,,
GA2482,4.4,3.6,0,35827.86,,,,,
GA2483,0,0,0,33957.5,,,,,
GA2486,0.8,0.6,0,34271.67,,,,,
GA2489,0,0,0,33957.5,,,,,
GA2490,1.4,0.6,0,34293.66,,,,,
GA2491,11.4,5.2,2,57141.6,,,,,
GA2493,14.6,14.6,0,41423.94,,,,,
GA2494,2.8,2.4,0,35199.52,,,,,
GA2600,1,0.8,0.6,40463.22,,,,,
GA2618,4,1.6,1.8,53131.53,,,,,
GA2630,11.2,3.6,0,36077.08,,,,,
GA2635,0,0,0,33957.5,,,,,
GA2637,0,0,0.2,35987.26,,,,,
GA2709,7.6,3.8,0.8,44159.13,,,,,
GA2713,3.6,3,0,35513.69,,,,,
GA2732,1.2,0.6,0,34286.33,,,,,
GU6931,2.4,1.4,0,34710.1,,,,,
GU7008,11.6,10.2,4.2,81850.04,,,,,
GU7043,0.4,0.4,0,34162.06,,,,,
GU7069,9.8,7,5.4,92443.42,,,,,
GU7285,49.8,39.8,5.6,111510.99,,,,,
GU7473,1,0.2,0,34089.1,,,,,
GU7743,0.6,0.6,0,34264.34,,,,,
GU8076,0.2,0.2,0,34059.78,,,,,
GU8383,1.2,0.8,0,34381.28,,,,,
HI0001,46.2,41.4,1,65454.19,,,,,
HI0002,0,0,0,33957.5,,,,,
HI0011,380.2,344.2,17.4,387890.01,,,,,
HI0200,0,0,0,33957.51,,,,,
HI5729,1.2,0.8,0,34381.27,,,,,
HI5889,8.6,7.6,1,48029.59,,,,,
HI6329,2.4,2.2,0,35089.91,,,,,
HI6458,7.4,6,7.2,110148.53,,,,,
HI6575,6.6,5,2,56870.74,,,,,
HI6697,2,0.2,0,34125.76,,,,,
HI6781,0.6,0.4,0,34169.4,,,,,
HI6851,0,0,0,33957.5,,,,,
HI6993,2.6,2.4,0.4,39251.71,,,,,
HI7267,0,0,0,33957.5,,,,,
HI7286,0,0,0,33957.5,,,,,
HI7452,1.2,1,0,34476.23,,,,,
HI7492,0,0,0,33957.5,,,,,
HI7493,0.6,0.4,0,34169.39,,,,,
HI7501,0,0,0,33957.5,,,,,
HI7502,0,0,0,33957.5,,,,,
HI7503,0,0,0,33957.5,,,,,
HI7542,0.2,0,0,33964.83,,,,,
HI7553,0.4,0,0,33972.16,,,,,
HI7576,2.6,2.2,0,35097.24,,,,,
HI7590,0,0,0,33957.5,,,,,
HI7665,0,0,0,33957.5,,,,,
HI7760,0,0,0,33957.5,,,,,
HI7771,0.2,0.2,0,34059.78,,,,,
HI7793,0,0,0,33957.5,,,,,
HI7809,0.2,0.2,0,34059.78,,,,,
HI7823,0,0,0,33957.5,,,,,
HI7831,10.4,8.4,1,48475.36,,,,,
HI7849,9.6,8.2,1,48351.09,,,,,
HI7894,0,0,0,33957.5,,,,,
HI8091,0,0,0,33957.5,,,,,
HI8171,0.8,0.6,0,34271.67,,,,,
HI8174,13.4,13.2,2.4,65072.42,,,,,
HI8195,0,0,0,33957.5,,,,,
HI8234,7.8,7.2,1,47810.36,,,,,
HI8286,1.2,0.8,0,34381.28,,,,,
HI8292,1.4,1.4,0,34673.46,,,,,
HI8318,1.2,1.2,0,34571.18,,,,,
HI8328,0,0,0,33957.5,,,,,
HI8347,0,0,0,33957.5,,,,,
HI8348,0.6,0.4,0,34169.39,,,,,
HI8450,0,0,0,33957.5,,,,,
IA0027,1,0.6,0,34278.99,,,,,
IA0030,5.2,4,0,36047.07,,,,,
IA0087,28.2,27.2,0,47904.23,,,,,
IA0112,170.6,139.8,12.4,232425.13,,,,,
IA0119,10.8,7.8,0,38056.38,,,,,
IA0121,23,18.6,0,43630.79,,,,,
IA1318,1.2,0.8,0,34381.28,,,,,
IA1405,1.4,1.2,0,34578.51,,,,,
IA1408,0,0,0.2,35987.26,,,,,
IA1412,7.6,6.4,1,47423.23,,,,,
IA1419,5.2,2.6,0,35382.43,,,,,
IA1421,0.8,0.6,0,34271.66,,,,,
IA1423,13.6,1.8,0.6,41399.77,,,,,
IA1427,0,0,0,33957.5,,,,,
IA1430,0.2,0,0,33964.83,,,,,
IA1443,2,0.8,1,44559.39,,,,,
IA1450,9.8,5,1,46839.22,,,,,
IA1459,0.8,0.8,0,34366.62,,,,,
IA1465,3.8,2.6,1,45479.91,,,,,
IA1466,1.2,0.8,0,34381.28,,,,,
IA1470,0,0,0,33957.5,,,,,
IA1471,0.2,0,0,33964.83,,,,,
IA1472,0,0,0,33957.5,,,,,
IA1473,0.4,0.2,0,34067.11,,,,,
IA1474,0,0,0,33957.5,,,,,
IA1475,0,0,0,33957.5,,,,,
IA1476,0,0,0,33957.5,,,,,
IA1480,6.2,3.2,1,45852.72,,,,,
IA1481,0,0,0,33957.5,,,,,
IA1485,0.2,0.2,0,34059.78,,,,,
IA1486,3.8,3,1.2,47699.57,,,,,
IA1487,6.4,4.2,1,46334.8,,,,,
IA1488,4.4,2.4,1,45406.95,,,,,
IA1490,0.2,0.2,0,34059.78,,,,,
IA1491,0.4,0.2,0,34067.11,,,,,
IA1492,6.2,3.2,1,45852.72,,,,,
IA1493,4.4,1.2,1,44837.25,,,,,
IA1494,8.2,5,1,46780.58,,,,,
IA1497,10.2,6,1,47328.62,,,,,
IA1499,0,0,0,33957.5,,,,,
IA1500,5.2,2.8,1,45626.17,,,,,
IA1502,0,0,0,33957.5,,,,,
IA1503,0,0,0,33957.5,,,,,
IA1505,1,0.6,0,34279.01,,,,,
IA1507,12.6,9.4,1,49030.74,,,,,
IA1508,9.6,5.8,1.6,53300.96,,,,,
IA1511,4.4,2.2,1,45312,,,,,
IA1514,0,0,0,33957.5,,,,,
IA1516,11.8,8.6,1,48621.62,,,,,
IA1517,8.4,5.6,1.2,49102.51,,,,,
IA1522,10.4,6.8,1,47715.76,,,,,
IA1524,7,4.4,1,46451.74,,,,,
IA1525,0.4,0,0,33972.16,,,,,
IA1526,8.4,4.4,0.8,44473.3,,,,,
IA1527,9.2,9,0,38567.43,,,,,
IA1529,1,0.8,0,34373.95,,,,,
IA1531,6.8,5.2,1,46824.21,,,,,
IA1534,9,6.4,1,47474.55,,,,,
IA1536,0.4,0.2,0,34067.11,,,,,
IA1537,0,0,0,33957.5,,,,,
IA1542,0.6,0.2,0,34074.44,,,,,
IA1545,0,0,0,33957.5,,,,,
IA1546,0,0,0,33957.5,,,,,
IA1547,0,0,0,33957.5,,,,,
IA1548,0.6,0.6,0,34264.34,,,,,
IA1549,0,0,0,33957.5,,,,,
IA1550,4.5,3.25,1,45814.16,,,,,
IA1551,0,0,0,33957.5,,,,,
IA1552,0,0,0,33957.5,,,,,
IA1553,1,1,0,34468.9,,,,,
IA1554,3,3,0,35491.7,,,,,
IA1555,0,0,0,33957.5,,,,,
ID0025,59.6,53.2,2.6,87785.41,,,,,
ID0027,8.2,7.4,1.2,49949.73,,,,,
ID0504,0,0,0,33957.5,,,,,
ID0505,0,0,0,33957.5,,,,,
ID0508,0,0,0,33957.5,,,,,
ID0560,0,0,0,33957.5,,,,,
ID4193,4,3.4,1,45867.04,,,,,
ID4225,0,0,0,33957.5,,,,,
ID4252,1.6,1,1.4,48699.21,,,,,
ID4265,12,11.8,0,39999.35,,,,,
ID4270,10.4,9.6,3.8,77461.69,,,,,
ID4271,0,0,0.4,38017.01,,,,,
ID4273,0.2,0.2,0,34059.78,,,,,
ID4274,1.2,0.4,0,34191.38,,,,,
ID4278,16.2,15.8,2.4,66409.39,,,,,
ID4288,0.2,0.2,0,34059.78,,,,,
ID4289,0,0,0,33957.5,,,,,
ID4298,0,0,0,33957.5,,,,,
ID4305,29.2,27.2,4.8,96655.1,,,,,
ID4311,2,2,0,34980.3,,,,,
ID4315,5.6,3.6,1,46020.62,,,,,
ID4316,9.2,8.4,0.4,42342.1,,,,,
ID4325,3.8,3.8,0,35900.82,,,,,
ID4326,0,0,0,33957.5,,,,,
ID4330,2.2,2.2,1.6,51320.65,,,,,
ID4332,0,0,0,33957.5,,,,,
ID4334,4.4,4.4,0,36207.65,,,,,
