Row Labels,Average of 5YA Service Calls,Average of 5YA Incident Responses,Average of 5YA Post Count,Sum of FY 2023 Basic Assessment,,Average of 5YA Service Calls,Average of 5YA Incident Responses,Average of 5YA Post Count,Sum of FY 2023 Basic Assessment
0010AZ,0,0,0,33957.5,,,,,
0010GA,0,0,0,33957.5,,,,,
0010HI,0,0,0,33957.5,,,,,
0010IL,0,0,0,0,,,,,
0010MD,4,3,0,35528.35,,,,,
0010ND,1,0,0,33994.15,,,,,
0010NY,0,0,0,33957.5,,,,,
0010OH,0,0,0,33957.5,,,,,
0010PR,0,0,1,44106.29,,,,,
0010SC,0,0,0,33957.5,,,,,
0010TX,1,0,0,33994.15,,,,,
0010WA,0,0,0,33957.5,,,,,
0011AZ,5,4,0,36039.75,,,,,
0011CO,0,0,0,33957.5,,,,,
0011HI,4,3,0,35528.35,,,,,
0011MA,7.5,5,0,36606.12,,,,,
0011MN,0,0,0,33957.5,,,,,
0011NY,0,0,2,54255.09,,,,,
0011SC,0,0,0,33957.5,,,,,
0011TX,0,0,0,33957.5,,,,,
0011WA,2,0,0,34030.8,,,,,
0012HI,0,0,0,33957.5,,,,,
0012MD,0,0,0,33957.5,,,,,
0012MN,0,0,0,33957.5,,,,,
0012MS,0,0,0,33957.5,,,,,
0012NC,0,0,0,33957.5,,,,,
0012NM,0,0,0,33957.5,,,,,
0012PR,0,0,1,44106.29,,,,,
0012SC,0,0,0,33957.5,,,,,
0012TX,5,1,0,34615.5,,,,,
0012VA,11,10,0,39108.15,,,,,
0012VI,0,0,3.5,69478.28,,,,,
0012WA,1.67,0,0,34018.58,,,,,
0013AZ,1,0,0,33994.15,,,,,
0013MA,0,0,0,33957.5,,,,,
0013PR,0,0,1,44106.29,,,,,
0013SC,0,0,0,33957.5,,,,,
0013TX,0,0,0,33957.5,,,,,
0013UT,0,0,0,33957.5,,,,,
0013VA,21,13,0,40898.91,,,,,
0013WA,2.33,0,0,34043.01,,,,,
0014AZ,0,0,0,33957.49,,,,,
0014CA,0,0,0,33957.5,,,,,
0014CO,4,4,0,36003.1,,,,,
0014FL,0,0,0,33957.5,,,,,
0014IN,0,0,0,0,,,,,
0014MA,0,0,0,33957.5,,,,,
0014NY,0,0,0,33957.5,,,,,
0014PR,0,0,2,54255.09,,,,,
0014TX,0,0,0,33957.5,,,,,
0014VI,0,0,0,33957.5,,,,,
0014WA,1.67,1.67,0,34809.83,,,,,
0014WY,0,0,0,33957.5,,,,,
0015AZ,0,0,0,33957.5,,,,,
0015CA,0,0,0,33957.5,,,,,
0015FL,0,0,0,33957.5,,,,,
0015IL,0,0,0,33957.5,,,,,
0015IN,0,0,0,33957.5,,,,,
0015LA,0,0,0,33957.5,,,,,
0015NC,0,0,0,33957.5,,,,,
0015ND,0,0,0,33957.5,,,,,
0015PR,0,0,0,0,,,,,
0015TX,1,1,0,34468.9,,,,,
0015VA,0,0,0,33957.5,,,,,
0015WA,1,0.67,0,34310.65,,,,,
0016AZ,0,0,0,33957.5,,,,,
0016CA,0,0,0,33957.5,,,,,
0016FL,0,0,0,33957.5,,,,,
0016IN,0,0,0,0,,,,,
0016MA,0,0,0,33957.5,,,,,
0016NC,0,0,0,33957.5,,,,,
0016ND,0,0,0,0,,,,,
0016NY,0,0,0,33957.5,,,,,
0016PR,0,0,0,33957.5,,,,,
0016SD,0,0,0,33957.5,,,,,
0016TX,0,0,0,33957.5,,,,,
0016WA,0,0,0,33957.5,,,,,
0017AZ,0,0,0,33957.5,,,,,
0017FL,0,0,0,33957.5,,,,,
0017IN,0,0,0,0,,,,,
0017LA,0,0,0,33957.5,,,,,
0017MN,0,0,0,33957.5,,,,,
0017MT,0,0,0,33957.5,,,,,
0017ND,1,0,0,33994.15,,,,,
0017NY,0,0,0,33957.5,,,,,
0017OK,0,0,0,33957.49,,,,,
0017PR,0,0,0.5,39031.89,,,,,
0017TX,0,0,0,33957.5,,,,,
0017WA,0,0,0,33957.5,,,,,
0018AZ,0,0,0,33957.5,,,,,
0018CO,0,0,0,33957.5,,,,,
0018FL,0,0,0,33957.5,,,,,
0018GA,0,0,0,33957.5,,,,,
0018MN,0,0,0,33957.5,,,,,
0018MT,0,0,0,33957.5,,,,,
0018PR,0,0,0,33957.5,,,,,
0018VA,0,0,0,33957.5,,,,,
0018WA,1.5,0.5,0,34249.85,,,,,
0019AZ,0,0,0,33957.5,,,,,
0019CA,1,0,0,33994.15,,,,,
0019FL,0,0,0,0,,,,,
0019GA,0,0,0,33957.5,,,,,
0019IL,0,0,0,0,,,,,
0019MN,0,0,0,33957.5,,,,,
0019NM,0,0,0,33957.5,,,,,
0019PR,0,0,0,33957.5,,,,,
0019VI,0,0,0,33957.5,,,,,
0019WA,1,0.33,0,34152.4,,,,,
001NFL,0,0,0,33957.49,,,,,
0020CA,6,5,0,36551.15,,,,,
0020IL,0,0,0,33957.5,,,,,
0020VA,0,0,0,33957.5,,,,,
0020VI,0,0,0,33957.5,,,,,
0020WA,0,0,0,0,,,,,
0020WI,0,0,0,33957.5,,,,,
0021CA,0,0,0,33957.5,,,,,
0021CO,2,1,0,34505.55,,,,,
0021GA,0,0,0,33957.5,,,,,
0021WA,1,0.5,0,34231.52,,,,,
0021WI,0,0,0,33957.5,,,,,
0022CO,0,0,0,33957.5,,,,,
0022WA,0,0,0,33957.5,,,,,
0022WI,0,0,0,33957.5,,,,,
0023CO,0,0,0,33957.5,,,,,
0023FL,0,0,0,33957.5,,,,,
0023MI,0,0,0,33957.5,,,,,
0024AR,0,0,0,33957.5,,,,,
0024CA,52,51,0,60075.57,,,,,
0024CO,0,0,0,0,,,,,
0024LA,0,0,0,33957.5,,,,,
0024MI,0,0,0,0,,,,,
0025AR,0,0,0,33957.5,,,,,
0025CA,2,2,0,34980.3,,,,,
0025CO,2,2,0,34980.3,,,,,
0025FL,0,0,0,33957.5,,,,,
0025MI,0,0,0,0,,,,,
0026AR,0,0,0,33957.5,,,,,
0026CA,0,0,0,33957.49,,,,,
0026CO,9,8,0,38085.35,,,,,
0026LA,0,0,0,0,,,,,
0026MI,0,0,0,33957.5,,,,,
0027CA,0,0,0,33957.5,,,,,
0027LA,0,0,0,33957.5,,,,,
0027OH,0,0,0,33957.5,,,,,
0028CA,0,0,0,33957.5,,,,,
0028NY,0,0,0,33957.5,,,,,
0028OH,0,0,0,33957.5,,,,,
0029CA,0,0,0,33957.49,,,,,
0029FL,0,0,0,33957.5,,,,,
0029OH,0,0,0,33957.5,,,,,
0030CA,0,0,0,33957.5,,,,,
0030FL,0,0,0,33957.5,,,,,
0031CA,2,0,0,34030.8,,,,,
0031NY,0,0,0,33957.5,,,,,
0031TX,0,0,0,33957.5,,,,,
0032CA,0,0,0,33957.5,,,,,
0032VA,36,7,0,38600.16,,,,,
0033CA,0,0,0,33957.5,,,,,
0033NY,0,0,0,33957.5,,,,,
0033TX,0,0,0,33957.5,,,,,
0034CA,0,0,0,33957.5,,,,,
0034MI,0,0,0,0,,,,,
0034NY,0,0,0,33957.5,,,,,
0034TX,0,0,0,33957.5,,,,,
0035CA,0,0,0,33957.5,,,,,
0035TX,0,0,0,33957.5,,,,,
0036CA,4,3,0,35528.35,,,,,
0036MN,0,0,0,33957.5,,,,,
0036NY,0,0,0,33957.5,,,,,
0036TX,0,0,0,33957.5,,,,,
0037NY,0,0,0,33957.5,,,,,
0037WI,0,0,0,33957.5,,,,,
0038CA,13,13,0,40605.7,,,,,
0038FL,0,0,0,33957.5,,,,,
0038NY,0,0,0,33957.5,,,,,
0038TX,0,0,1.2,46136.05,,,,,
0038WA,0,0,3,64403.88,,,,,
0039FL,0,0,0,33957.5,,,,,
0039NY,0,0,0,33957.5,,,,,
0039SD,0,0,0,0,,,,,
0039TX,1,1,0,34468.9,,,,,
0040CA,0,0,0,33957.5,,,,,
0040FL,0,0,0,33957.5,,,,,
0040TX,0,0,0,33957.5,,,,,
0041CA,0,0,0,0,,,,,
0041TX,8,2,0,35200.2,,,,,
0042CA,0,0,0,33957.5,,,,,
0042FL,0,0,0,33957.5,,,,,
0042TX,0,0,0,33957.5,,,,,
0043CA,0,0,0,33957.5,,,,,
0043TX,9.25,8.75,0.75,46062.17,,,,,
0044CA,0,0,0,33957.5,,,,,
0044TX,0.33,0,0,33969.71,,,,,
0045CA,1,1,0,34468.9,,,,,
0045FL,0,0,0,33957.5,,,,,
0045TX,0,0,0,33957.5,,,,,
0046CA,0,0,0,33957.5,,,,,
0046FL,0,0,0,33957.5,,,,,
0046NY,0,0,0,33957.5,,,,,
0047FL,0,0,0,33957.5,,,,,
0047TX,5,0,0,34140.75,,,,,
0048FL,0,0,0,33957.5,,,,,
0048TX,8,6.75,0.5,42529.66,,,,,
0049FL,0,0,0,33957.5,,,,,
0049TX,0,0,0,33957.5,,,,,
0050FL,0,0,0,33957.5,,,,,
0051FL,0,0,0,33957.5,,,,,
0051TX,3,2,0,35016.95,,,,,
0052FL,0,0,0,33957.5,,,,,
0052TX,3,2,0,35016.95,,,,,
0053FL,0,0,0,33957.5,,,,,
0053TX,9,4,0,36186.35,,,,,
0054FL,0,0,0,33957.5,,,,,
0054TX,0,0,0,33957.5,,,,,
0055FL,0,0,0,33957.5,,,,,
0055TX,6,2,0,35126.9,,,,,
0056FL,0,0,0,33957.5,,,,,
0056TX,0,0,0,0,,,,,
0057FL,0,0,0,33957.5,,,,,
0057TX,0,0,0,33957.5,,,,,
0058FL,0,0,0,33957.5,,,,,
0060FL,0,0,0,33957.5,,,,,
0079NY,0,0,0,33957.5,,,,,
0091WA,0,0,0,33957.5,,,,,
0092WA,0,0,0,33957.5,,,,,
0093AK,0,0,0,33957.5,,,,,
0094ID,0,0,0,0,,,,,
0095OR,0,0,0,33957.5,,,,,
0098TX,0,0,1,44106.29,,,,,
0099TX,0,0,0,0,,,,,
0100AL,0,0,0,33957.5,,,,,
0100DC,0,0,0,0,,,,,
0106ME,10.75,0,0,34351.49,,,,,
0287MA,8.75,6.5,0,37364.06,,,,,
0415RI,1.33,0,0,34006.36,,,,,
0646CT,2.5,2,0,34998.62,,,,,
0746ME,2.75,1.75,0,34889.1,,,,,
0859ME,0,0,0,33957.5,,,,,
0901TX,0,0,0,33957.5,,,,,
0902TX,0,0,0,33957.5,,,,,
0904TX,0,0,0,33957.5,,,,,
0904VT,1,0,0,33994.15,,,,,
0973ME,1,0.25,0,34112.83,,,,,
1000DC,0,0,0,33957.5,,,,,
1016VT,3,1.25,0,34660.89,,,,,
1020NH,3,0,0,34067.45,,,,,
1035ME,7.25,1.25,0,34816.65,,,,,
1045ME,11,1.25,0,34954.09,,,,,
1049ME,1.75,0.25,0,34140.32,,,,,
1053VT,2,0,0,34030.8,,,,,
1055VT,5.5,1,0,34633.82,,,,,
1123ME,2.5,0.5,0,34286.5,,,,,
1235FL,58.33,37,4,94256.37,,,,,
2010AL,0,0,0,33957.5,,,,,
2010KY,0,0,0,33957.5,,,,,
2010MS,0,0,0,33957.5,,,,,
2010NC,0,0,0,0,,,,,
2010SC,0,0,0,0,,,,,
2010TN,0,0,0,33957.49,,,,,
2011TN,0,0,0,33957.5,,,,,
5038NJ,20,15,0,41811.76,,,,,
5089NY,5,0,0,34140.75,,,,,
5111NY,0,0,0,33957.5,,,,,
5147NJ,4,2,0,35053.6,,,,,
5245NJ,0,0,0,33957.5,,,,,
6019NJ,0,0,0,33957.5,,,,,
6057NC,0,0,0,33957.5,,,,,
6066NJ,2,0,0,34030.8,,,,,
6098NJ,5,0,0,34140.75,,,,,
6136NY,1,1,0,34468.9,,,,,
6207NJ,2,1,0,34505.55,,,,,
6721NJ,7,0,0,34214.05,,,,,
6731NJ,7,0,0,34214.05,,,,,
6770NY,16,14,0,41190.4,,,,,
6880NJ,2,0,0,34030.8,,,,,
6979PR,0,0,0,33957.5,,,,,
8034PA,0,0,0,33957.5,,,,,
8070PA,0,0,0,33957.5,,,,,
8163PA,4,3,0,35528.35,,,,,
8197PA,3,2,0,35016.95,,,,,
8198PA,11,8,0,38158.65,,,,,
8205PA,0,0,0,33957.5,,,,,
8224PA,0,0,0,33957.5,,,,,
8306VA,12,3,0,35821.55,,,,,
8576VA,3,1,0,34542.2,,,,,
8677MD,0,0,0,33957.5,,,,,
8851NJ,3,3,0,35491.7,,,,,
8855NJ,9,2,0,35236.85,,,,,
8900NJ,0,0,0,33957.5,,,,,
8931VA,3,0,0,34067.45,,,,,
